场景编号,日产氨量(吨),delta_unit_cost,delta_buy,delta_sell,delta_R_self,delta_R_green,delta_R_sell
W5P4,45,-472.8638399999991,-92.71839999999997,-92.7184,0.2805737456878291,0.13570797107812999,-0.28057374568782917
W5P4,36,-702.6792749999995,-110.22419999999997,-110.2242,0.33354778187980394,0.1972798539518899,-0.333547781879804
W6P1,72,0.0,0.0,0.0,0.0,0.0,0.0
W6P1,63,-117.20601428571263,-32.17419999999987,-32.17420000000001,0.044951100927685284,0.03451352684988518,-0.044951100927685284
W6P1,54,-60.53784999999925,-14.244200000000205,-14.24420000000029,0.019900804739019118,0.017635071559451543,-0.01990080473901909
W6P1,45,1.3642420526593924e-12,1.1368683772161603e-13,-5.684341886080802e-14,0.0,1.1102230246251565e-16,-1.1102230246251565e-16
W6P1,36,3.637978807091713e-12,1.1368683772161603e-13,-1.7053025658242404e-13,2.220446049250313e-16,2.220446049250313e-16,-3.3306690738754696e-16
W6P2,72,0.0,0.0,0.0,0.0,0.0,0.0
W6P2,63,-160.73187142857296,-23.854200000000105,-23.854200000000002,0.05217454068241467,0.02558859496685334,-0.0521745406824147
W6P2,54,-322.09781666666913,-46.90580000000017,-46.9058,0.10259361329833772,0.058071856583964854,-0.1025936132983377
W6P2,45,-461.08758000000034,-73.94979999999998,-73.94980000000001,0.16174496937882754,0.10823717104300223,-0.16174496937882765
W6P2,36,-225.8212250000015,-25.743799999999965,-25.743799999999936,0.05630752405949235,0.04607638888888893,-0.05630752405949241
W6P3,72,0.0,0.0,0.0,0.0,0.0,0.0
W6P3,63,-147.794728571429,-21.93419999999992,-21.93420000000001,0.0752614603348889,0.02352899530153829,-0.07526146033488887
W6P3,54,-423.89377777777736,-58.53600000000006,-58.53600000000002,0.2008509470216855,0.07247065814886355,-0.20085094702168552
W6P3,45,-505.76904000000013,-99.17040000000003,-99.1704,0.3402772440296459,0.1451514885395626,-0.3402772440296459
W6P3,36,-776.5910249999997,-121.81819999999999,-121.81819999999999,0.41798723579467467,0.2180308562428407,-0.41798723579467467
