运行模式,场景编号,日产氨量(吨),硬约束可行,软约束违规度,吨氨成本(元/吨)
连续调节,W2P2,63,是,0.0,6594.077819569471
连续调节,W2P2,54,是,0.0,5943.505400608829
连续调节,W2P2,45,是,0.0,5158.164434063926
连续调节,W2P2,36,否,0.1305562216493817,4723.884709246574
连续调节,W2P3,72,否,0.0780074191838897,8770.396203234399
连续调节,W2P3,63,否,0.048359829224861095,8199.376613220265
连续调节,W2P3,54,否,0.0095726241766948,7439.6428820903075
连续调节,W2P3,45,是,0.0,6913.564791841703
连续调节,W2P3,36,是,0.0,6124.4476564687975
连续调节,W2P4,72,否,0.1391778332954803,9318.906425456622
连续调节,W2P4,63,否,0.1176996846238012,8826.24543861709
连续调节,W2P4,54,否,0.08960035655920365,8169.364122831051
连续调节,W2P4,45,否,0.05126020901027481,7639.342014063927
连续调节,W2P4,36,是,0.0,7031.669184246576
连续调节,W3P1,72,是,0.0,5282.333793512177
连续调节,W3P1,63,是,0.0,4316.853049728203
连续调节,W3P1,54,否,0.05158316684596076,3655.821169127347
连续调节,W3P1,45,否,0.22205368577429435,3007.92873628615
连续调节,W3P1,36,否,0.5409410378566673,2036.0900870243527
连续调节,W3P2,72,是,0.0,6664.22101434551
连续调节,W3P2,63,是,0.0,5811.212587823441
连续调节,W3P2,54,是,0.0,5101.409130238458
连续调节,W3P2,45,是,0.0,4478.657269619484
连续调节,W3P2,36,否,0.18478632151336472,3874.500753691019
连续调节,W3P3,72,是,0.0,8046.887225456621
连续调节,W3P3,63,是,0.0,7372.509210045662
连续调节,W3P3,54,是,0.0,6581.7094117199385
连续调节,W3P3,45,是,0.0,5884.044627397259
连续调节,W3P3,36,是,0.0,5061.9869759132425
连续调节,W3P4,72,否,0.023786812022106085,8595.397447678844
连续调节,W3P4,63,是,0.0,7999.378035442487
连续调节,W3P4,54,是,0.0,7204.685485794012
连续调节,W3P4,45,是,0.0,6584.1676496194805
连续调节,W3P4,36,是,0.0,5712.70122869102
连续调节,W4P1,72,是,0.0,4935.962453234399
连续调节,W4P1,63,是,0.0,3936.278184648838
连续调节,W4P1,54,否,0.09503400522736283,3275.305359868087
连续调节,W4P1,45,否,0.274015079984126,2551.30976517504
连续调节,W4P1,36,否,0.5579621495135265,1465.3163731354662
连续调节,W4P2,72,是,0.0,6183.231507401066
连续调节,W4P2,63,是,0.0,5280.100294172647
连续调节,W4P2,54,是,0.0,4500.912470979199
连续调节,W4P2,45,否,0.02437011210225687,4022.0382985083716
