scenario_id,wind_scenario,pv_scenario,Q_day,H_on,total_cost,incremental_total_cost,unit_cost,incremental_unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,on_hours
W3P3,3,3,36,12,206992.2861328767,168322.2891328767,5749.785725913242,4675.619142579908,558.72,356.52000000000004,345.2962,143.09620000000004,0.0,213.4238,0.5986306518568383,0.38198704180985105,0.4013693481431617,部分满足,False,True,True,False,0 1 2 3 4 5 6 9 15 16 17 23
W3P4,3,4,72,24,618868.6162328768,580198.6192328768,8595.397447678844,8058.314156012178,1056.7199999999998,291.88,764.8399999999999,0.0,0.0,291.88,1.0,0.2762131879778939,0.0,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W3P4,3,4,63,21,511063.46533287666,472393.4683328767,8112.118497347248,7498.309021156772,932.22,291.88,657.0717999999999,16.7318,0.0,275.1482,0.9426757571604768,0.2951537190791873,0.057324242839523094,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23
W3P4,3,4,54,18,407842.32013287675,369172.3231328768,7552.635558016236,6836.524502460681,807.72,291.88,560.1022,44.26220000000001,0.0,247.6178,0.84835480334384,0.30656390828504926,0.15164519665616008,全满足,True,True,False,True,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23
W3P4,3,4,45,15,313883.8141328767,275213.8171328767,6975.195869619482,6115.862602952816,683.22,291.88,468.0122,76.6722,0.0,215.2078,0.7373160202823078,0.31499048622698395,0.2626839797176922,部分满足,True,True,False,False,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23
W3P4,3,4,36,12,227685.2050328767,189015.2080328767,6324.589028691019,5250.422445357686,558.72,291.88,362.8224,95.98240000000001,0.0,195.89759999999998,0.6711580101411538,0.35061855670103087,0.32884198985884616,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 15 16 17 23
W4P1,4,1,72,24,355389.29663287674,316719.29963287676,4935.962453234399,4398.879161567733,1056.7199999999998,876.924,353.50199999999995,173.706,0.0,703.218,0.8019144190374536,0.6654724051782877,0.19808558096254636,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W4P1,4,1,63,21,255443.60063287665,216773.60363287665,4054.660327505979,3440.8508513155025,932.22,876.924,246.83199999999997,191.536,0.0,685.3879999999999,0.7815819842996656,0.7352212996932054,0.21841801570033437,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 22 23
W4P1,4,1,54,18,176737.0055328767,138067.0085328767,3272.9075098680873,2556.7964543125313,807.7199999999999,876.924,188.9542,258.1582,0.0,618.7657999999999,0.7056093800603016,0.766064725399891,0.29439061993969834,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23
W4P1,4,1,45,15,114679.45553287675,76009.45853287674,2548.432345175039,1689.099078508372,683.22,876.924,188.9542,382.65819999999997,0.0,494.2658,0.5636358452956015,0.7234357893504288,0.43636415470439854,部分满足,False,True,True,False,0 1 2 3 4 5 6 10 11 12 13 14 15 16 23
