mode,scenario_id,Q_day,M_self,M_green,M_green_2030,M_sell,min_policy_margin,violation_score
discrete,W4P1,72,0.20191441903745366,0.36547240517828766,0.3154724051782877,0.0019144190374536518,0.0019144190374536518,0.0
discrete,W4P1,63,0.18158198429966566,0.4352212996932054,0.3852212996932054,-0.018418015700334356,-0.018418015700334356,0.018418015700334356
discrete,W4P1,54,0.10560938006030163,0.466064725399891,0.41606472539989103,-0.09439061993969833,-0.09439061993969833,0.09439061993969833
discrete,W4P1,45,-0.036364154704398466,0.42343578935042886,0.37343578935042887,-0.23636415470439853,-0.23636415470439853,0.272728309408797
discrete,W4P1,36,-0.17833768946909878,0.36180877720504007,0.3118087772050401,-0.3783376894690988,-0.3783376894690988,0.5566753789381975
discrete,W4P2,72,0.38424843619615645,0.27595559845559864,0.22595559845559865,0.1842484361961563,0.1842484361961563,0.0
discrete,W4P2,63,0.33547101707085136,0.32052047799875566,0.27052047799875567,0.13547101707085146,0.13547101707085146,0.0
discrete,W4P2,54,0.27399654572387777,0.36910315455851034,0.31910315455851035,0.07399654572387784,0.07399654572387784,0.0
discrete,W4P2,45,0.13754940455783327,0.3675360791545916,0.3175360791545916,-0.062450595442166745,-0.062450595442166745,0.062450595442166745
discrete,W4P2,36,-0.024795427935649483,0.33660831901489124,0.28660831901489126,-0.22479542793564955,-0.22479542793564955,0.24959085587129903
discrete,W4P3,72,0.4,0.12831024301612548,0.07831024301612549,0.2,0.12831024301612548,0.0
discrete,W4P3,63,0.34078708981803074,0.15676342494261014,0.10676342494261015,0.14078708981803076,0.14078708981803076,0.0
discrete,W4P3,54,0.2681942713718837,0.18649061555984753,0.13649061555984754,0.06819427137188361,0.06819427137188361,0.0
discrete,W4P3,45,0.160881035077021,0.2040511109159568,0.1540511109159568,-0.039118964922979005,-0.039118964922979005,0.039118964922979005
discrete,W4P3,36,0.03219414764341466,0.21212342497136322,0.16212342497136323,-0.16780585235658535,-0.16780585235658535,0.16780585235658535
discrete,W4P4,72,0.4,0.06713982890453485,0.01713982890453486,0.2,0.06713982890453485,0.0
discrete,W4P4,63,0.3565531853470941,0.09809079401857934,0.04809079401857935,0.15655318534709406,0.09809079401857934,0.0
discrete,W4P4,54,0.27229175902918834,0.11897910166889514,0.06897910166889515,0.0722917590291883,0.0722917590291883,0.0
discrete,W4P4,45,0.17906145931065764,0.14238722519832553,0.09238722519832554,-0.02093854068934231,-0.02093854068934231,0.02093854068934231
discrete,W4P4,36,0.09793485993545792,0.1846320160366552,0.1346320160366552,-0.10206514006454204,-0.10206514006454204,0.10206514006454204
discrete,W5P1,72,0.20639452295526117,0.32530831251419506,0.2753083125141951,0.006394522955261078,0.006394522955261078,0.0
discrete,W5P1,63,0.16506992750970206,0.3724953337195083,0.32249533371950834,-0.034930072490297975,-0.034930072490297975,0.034930072490297975
discrete,W5P1,54,0.11431939664640844,0.4246664685782204,0.3746664685782204,-0.08568060335359151,-0.08568060335359151,0.08568060335359151
discrete,W5P1,45,-0.025850235532449695,0.38860659816750104,0.33860659816750105,-0.2258502355324497,-0.2258502355324497,0.2517004710648994
discrete,W5P1,36,-0.17778697127236331,0.3192185710194732,0.2692185710194732,-0.3777869712723633,-0.3777869712723633,0.5555739425447266
discrete,W5P2,72,0.38243697179331737,0.22143387084563554,0.17143387084563555,0.18243697179331742,0.18243697179331742,0.0
discrete,W5P2,63,0.33689583853368044,0.26367316727811024,0.21367316727811025,0.13689583853368031,0.13689583853368031,0.0
discrete,W5P2,54,0.29857682844203526,0.3239486455702469,0.2739486455702469,0.09857682844203534,0.09857682844203534,0.0
discrete,W5P2,45,0.16599079984309806,0.3288071192295306,0.2788071192295306,-0.034009200156901925,-0.034009200156901925,0.034009200156901925
discrete,W5P2,36,-0.020465356773526455,0.28175436712485663,0.23175436712485664,-0.22046535677352647,-0.22046535677352647,0.24093071354705292
discrete,W5P3,72,0.4,0.07389280036338869,0.0238928003633887,0.2,0.07389280036338869,0.0
discrete,W5P3,63,0.3402120982029866,0.09848726695415244,0.04848726695415245,0.14021209820298655,0.09848726695415244,0.0
discrete,W5P3,54,0.23809668438370035,0.10995889664735303,0.059958896647353044,0.03809668438370031,0.03809668438370031,0.0
discrete,W5P3,45,0.1447643634522906,0.13069055355522385,0.08069055355522387,-0.05523563654770941,-0.05523563654770941,0.05523563654770941
discrete,W5P3,36,0.0025355606175652134,0.1260842640320734,0.07608426403207341,-0.19746443938243485,-0.19746443938243485,0.19746443938243485
discrete,W5P4,72,0.4,0.012722386251798001,-0.03727761374820199,0.2,0.012722386251798001,0.0
discrete,W5P4,63,0.33239060703262124,0.03052047799875557,-0.01947952200124442,0.13239060703262118,0.03052047799875557,0.0
discrete,W5P4,54,0.2315318041517883,0.04020205021542106,-0.00979794978457893,0.031531804151788384,0.031531804151788384,0.0
discrete,W5P4,45,0.11942625431217091,0.047972249055940885,-0.0020277509440591035,-0.08057374568782916,-0.08057374568782916,0.08057374568782916
discrete,W5P4,36,0.06645221812019608,0.0941791953035509,0.04417919530355091,-0.13354778187980398,-0.13354778187980398,0.13354778187980398
discrete,W6P1,72,0.27310523080362137,0.2913901506548567,0.2413901506548567,0.07310523080362133,0.07310523080362133,0.0
