scenario_id,wind_scenario,pv_scenario,Q_day,total_cost,incremental_total_cost,unit_cost,incremental_unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,rate_vector,on_hours
W3P2,3,2,54,312135.800032877,273465.803032877,5780.29259320142,5064.18153764586,807.72,522.28,303.2904,17.8504,0,504.4296,0.965822164356284,0.624510473926608,0.034177835643716,全满足,1,1,1,1,0.3 3 3 3 3 3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W3P2,3,2,45,245720.265232877,207050.268232877,5460.45033850837,4601.1170718417,683.22,522.28,210.242,49.302,0,472.978,0.905602358887953,0.692277743625772,0.0943976411120472,全满足,1,1,1,1,0.3 0.3 3 3 3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W3P2,3,2,36,173871.571232877,135201.574232877,4829.76586757991,3755.59928424658,558.72,522.28,113.41,76.97,0,445.31,0.852626943402007,0.797018184421535,0.147373056597993,全满足,1,1,1,1,0.3 0.3 0.3 2.1 0.3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W3P3,3,3,72,579375.880232876,540705.883232876,8046.88722545661,7509.80393378995,1056.72,356.52,700.199999999999,0,0,356.52,1,0.337383602089484,0,全满足,1,1,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W3P3,3,3,63,485557.188332877,446887.191332877,7707.25695766471,7093.44748147423,932.22,356.52,578.1318,2.4318,0,354.0882,0.993179064288118,0.379833301152089,0.00682093571188152,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 2.1,
W3P3,3,3,54,403336.786232877,364666.789232877,7469.19974505327,6753.08868949771,807.72,356.52,464.692,13.492,0,343.028,0.962156400762931,0.424686772643986,0.0378435992370694,全满足,1,1,1,1,1.2 3 3 3 3 3 3 3 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W3P3,3,3,45,322467.201332877,283797.204332877,7165.93780739726,6306.60454073059,683.22,356.52,366.9498,40.2498,0,316.2702,0.887103668798384,0.4629112145429,0.112896331201616,全满足,1,1,1,1,0.3 3 3 3 3 3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W3P3,3,3,36,247273.944432877,208603.947432877,6868.72067869102,5794.55409535769,558.72,356.52,266.4936,64.2936,0,292.2264,0.819663412992259,0.523028350515464,0.180336587007741,全满足,1,1,1,1,0.3 0.3 3 3 3 0.3 0.3 0.3 0.3 3 0.3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 0.3 0.3 0.3,
W3P4,3,4,72,618868.616232876,580198.619232876,8595.39744767884,8058.31415601217,1056.72,291.88,764.839999999999,0,0,291.88,1,0.276213187977894,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W3P4,3,4,63,519032.481432876,480362.484432876,8238.61081639486,7624.80134020439,932.22,291.88,642.0876,1.7476,0,290.1324,0.994012607921063,0.311227392675549,0.00598739207893655,全满足,1,1,0,1,3 3 3 3 3 3 3 3 3 3 0.3 3 3 3 3 3 3 3 3 3 2.1 0.3 0.3 3,
W3P4,3,4,54,427669.073532877,388999.076532877,7919.79765801623,7203.68660246068,807.72,291.88,523.6774,7.8374,0,284.0426,0.973148554200356,0.35165973357104,0.0268514457996437,全满足,1,1,1,1,3 3 3 3 3 3 3 3 1.2 3 0.3 0.3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3,
W3P4,3,4,45,333579.659232877,294909.662232877,7412.88131628615,6553.54804961948,683.22,291.88,413.32,21.98,0,269.9,0.924695080169933,0.395041128772577,0.0753049198300671,全满足,1,1,1,1,3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 3 3 3 3 3 0.3 3 0.3 0.3 0.3 0.3 0.3,
W3P4,3,4,36,243793.405332877,205123.408332877,6772.03903702435,5697.87245369102,558.72,291.88,305.2758,38.4358,0,253.4442,0.868316431410169,0.453615764604811,0.131683568589831,全满足,1,1,1,1,2.1 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W4P1,4,1,72,355389.296632876,316719.299632876,4935.96245323439,4398.87916156773,1056.72,876.924,353.502,173.706,0,703.218,0.801914419037454,0.665472405178288,0.198085580962546,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W4P1,4,1,63,262064.186632877,223394.189632877,4159.74899417264,3545.93951798217,932.22,876.924,232.242,176.946,0,699.978,0.798219686084541,0.750872111733282,0.201780313915459,部分满足,1,1,1,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 2.1,
W4P1,4,1,54,188197.193532877,149527.196532877,3485.13321357179,2769.02215801623,807.72,876.924,121.6982,190.9022,0,686.0218,0.782304737924837,0.849331203882534,0.217695262075163,部分满足,1,1,1,0,0.3 3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W4P1,4,1,45,128928.161432877,90258.1644328767,2865.07025406393,2005.73698739726,683.22,876.924,43.1484,236.8524,0,640.0716,0.729905442204798,0.936845525599368,0.270094557795202,部分满足,1,1,1,0,0.3 0.3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W4P1,4,1,36,59459.2635328767,20789.2665328767,1651.64620924658,577.479625913243,558.72,876.924,0.564200000000001,318.7682,0,558.1558,0.636492786147945,0.998990191867125,0.363507213852055,部分满足,1,1,1,0,0.3 0.3 0.3 0.3 0.3 0.3 2.1 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W4P2,4,2,72,445192.668532876,406522.671532876,6183.23150740106,5646.1482157344,1056.72,618.364,448.0962,9.74020000000001,0,608.6238,0.984248436196156,0.575955598455599,0.0157515638038437,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W4P2,4,2,63,351867.558532877,313197.561532877,5585.19934179169,4971.38986560122,932.22,618.364,326.8362,12.9802,0,605.3838,0.979008803876034,0.649400141597477,0.0209911961239658,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 2.1,
W4P2,4,2,54,278000.565432877,239330.568432877,5148.15861912735,4432.04756357179,807.72,618.364,216.2924,26.9364,0,591.4276,0.956439249374155,0.732218590600703,0.043560750625845,全满足,1,1,1,1,0.3 3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W4P2,4,2,45,207079.543332877,168409.546332877,4601.76762961948,3742.43436295281,683.22,618.364,134.4826,69.6266,0,548.7374,0.887401918611045,0.803163549076433,0.112598081388955,全满足,1,1,1,1,0.3 0.3 0.3 3 0.3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W4P2,4,2,36,142739.001332877,104069.004332877,3964.97225924658,2890.80567591324,558.72,618.364,61.2326000000001,120.8766,0,497.4874,0.804521932065903,0.890405569873998,0.195478067934097,全满足,1,1,1,1,0.3 0.3 0.3 0.3 0.3 0.3 2.1 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W4P3,4,3,72,542570.038632876,503900.041632876,7535.69498101217,6998.61168934551,1056.72,452.604,604.116,0,0,452.604,1,0.428310243016125,0,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W4P3,4,3,63,449244.928632877,410574.931632877,7130.87188306153,6517.06240687106,932.22,452.604,482.856,3.24,0,449.364,0.992841424291434,0.48203642916908,0.00715857570856642,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 2.1,
W4P3,4,3,54,375377.935532877,336707.938532877,6951.44325060883,6235.33219505327,807.72,452.604,372.3122,17.1962,0,435.4078,0.962006080370478,0.539057841826376,0.0379939196295216,全满足,1,1,1,1,0.3 3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W4P3,4,3,45,290524.211432877,251854.214432877,6456.09358739726,5596.76032073059,683.22,452.604,283.0424,52.4264,0,400.1776,0.884167174837165,0.585722900383478,0.115832825162835,全满足,1,1,1,1,0.3 0.3 0.3 3 3 3 3 3 3 3 0.3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W4P3,4,3,36,209608.469432877,170938.472432877,5822.45748424658,4748.29090091324,558.72,452.604,196.1324,90.0164,0,362.5876,0.801114439996111,0.648961197021764,0.198885560003889,全满足,1,1,1,1,0.3 0.3 0.3 3 0.3 3 3 3 3 3 0.3 0.3 3 3 3 3 2.1 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W4P4,4,4,72,582062.774632876,543392.777632876,8084.20520323439,7547.12191156773,1056.72,387.964,668.756,0,0,387.964,1,0.367139828904535,0,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W4P4,4,4,63,482131.015732876,443461.018732876,7652.87326560121,7039.06378941074,932.22,387.964,545.4238,1.1678,0,386.7962,0.996989926900434,0.414919439617258,0.00301007309956593,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 0.3 2.1 3 3 3 3 3 3 3 3 3 0.3 0.3 3,
